characterId,characterName,Type,skillOrder,skillType,skillName,skillCost,skillEffect,skillRaw
C004,魔理沙,人类,1,通常,极限火花,⑤,给予目标对手4咒术伤害，若目标是爱丽丝或帕秋莉，则伤害-1,【通常】极限火花（⑤）：给予目标对手4咒术伤害，若目标是爱丽丝或帕秋莉，则伤害-1
C004,魔理沙,人类,2,响应,星尘狂欢,每回合一次，若你在防御后未被击杀，弃1张手牌,对伤害的来源玩家给予1直接伤害,【响应】星尘狂欢（每回合一次，若你在防御后未被击杀，弃1张手牌）：对伤害的来源玩家给予1直接伤害
C004,魔理沙,人类,3,通常,八卦炉充能,③,本回合你下次给予的咒术或体术伤害+2,【通常】八卦炉充能（③）：本回合你下次给予的咒术或体术伤害+2
C004,魔理沙,人类,4,终结,炽烈彗星,⑦II,给予目标对手7体术伤害，然后从手牌或弃牌堆中放逐1张牌,【终结】炽烈彗星（⑦II）给予目标对手7体术伤害，然后从手牌或弃牌堆中放逐1张牌
C005,魂魄妖梦,人类、人外,1,响应,无为无策的冥罚,你给予对手体术伤害时,获得1个剑气指示物，最多存在3个,【响应】无为无策的冥罚（你给予对手体术伤害时）获得1个剑气指示物，最多存在3个
C005,魂魄妖梦,人类、人外,2,通常,樱花闪闪,④，X剑气,对最多2个目标对手各给予1+X点体术伤害，对幽幽子伤害-1,【通常】樱花闪闪（④，X剑气）对最多2个目标对手各给予1+X点体术伤害，对幽幽子伤害-1
C005,魂魄妖梦,人类、人外,3,响应,六根清净斩,当你完全防御对手一次伤害后，移除1剑气指示物,展示牌库顶牌，对伤害来源角色造成其【召唤费用-1】的体术伤害,【响应】六根清净斩（当你完全防御对手一次伤害后，移除1剑气指示物）展示牌库顶牌，对伤害来源角色造成其【召唤费用-1】的体术伤害
C005,魂魄妖梦,人类、人外,4,终结,西行寺春风斩,④II，移除X剑气指示物,给予目标对手3+X点体术伤害，此伤害带有【穿透】,【终结】西行寺春风斩（④II，移除X剑气指示物）给予目标对手3+X点体术伤害，此伤害带有【穿透】
C006,十六夜咲夜,人类,1,通常,杀人玩偶,④,给予目标对手3体术伤害；若你处于启动状态，则每回合第一次发动此技能后，可以立刻无消耗追加发动一次,【通常】杀人玩偶（④）给予目标对手3体术伤害；若你处于启动状态，则每回合第一次发动此技能后，可以立刻无消耗追加发动一次
C006,十六夜咲夜,人类,2,响应,狂气杰克,启动状态下，每回合1次，任意玩家防御前，I,该玩家先抓1张牌然后再防御,【响应】狂气杰克（启动状态下，每回合1次，任意玩家防御前，I）该玩家先抓1张牌然后再防御
C006,十六夜咲夜,人类,3,启动,特制时停表,⑥，II,启动时抓3张牌，如果你的队友有蕾米或芙兰，她们也抓1张牌,【启动】特制时停表（⑥，II）启动时抓3张牌，如果你的队友有蕾米或芙兰，她们也抓1张牌
C006,十六夜咲夜,人类,4,终结,咲夜的世界,⑧，V,本回合结束后，你立刻开始一个额外的回合。额外的回合中，你不能再发动此技能。,【终结】咲夜的世界（⑧，V）本回合结束后，你立刻开始一个额外的回合。额外的回合中，你不能再发动此技能。
C007,莲,人外,1,通常,梦萝莉的魅影,②,获得一个梦境指示物，最多存在3个,【通常】梦萝莉的魅影（②）获得一个梦境指示物，最多存在3个
C007,莲,人外,2,通常,让人脸红心跳的美梦,④,目标队友抓1张牌。若你的梦境指示物为3，则你再抓1张牌,【通常】让人脸红心跳的美梦（④）目标队友抓1张牌。若你的梦境指示物为3，则你再抓1张牌
C007,莲,人外,3,通常,让人胆战心惊的噩梦,④，移除3梦境指示物,魅惑目标对手，对爱尔奎特无效,【通常】让人胆战心惊的噩梦（④，移除3梦境指示物）魅惑目标对手，对爱尔奎特无效
C007,莲,人外,4,终结,冰淇淋甜点白日梦,⑤II,回复目标友方玩家4生命，给予目标对手4咒术伤害,【终结】冰淇淋甜点白日梦（⑤II）回复目标友方玩家4生命，给予目标对手4咒术伤害
C008,阿尔托莉亚,人外,1,通常,风王结界,③,给予目标对手3伤害，你自行决定伤害类型是体术或咒术。,【通常】风王结界（③）给予目标对手3伤害，你自行决定伤害类型是体术或咒术。
C008,阿尔托莉亚,人外,2,通常,魔力铠甲,③,你获得【结界】，本回合你下次给予的体术伤害+1,【通常】魔力铠甲（③）你获得【结界】，本回合你下次给予的体术伤害+1
C008,阿尔托莉亚,人外,3,通常,魔力补充行为,⑥I,抓2张牌，本回合你下次给予的咒术伤害+1,【通常】魔力补充行为（⑥I）抓2张牌，本回合你下次给予的咒术伤害+1
C008,阿尔托莉亚,人外,4,终结,约定的胜利之剑,⑦，III,给予所有对手6咒术伤害,【终结】约定的胜利之剑（⑦，III）给予所有对手6咒术伤害
C009,两仪式,人类,1,通常,直死魔眼,④，减少自己1生命,无手牌时不可发动。目标对手弃1张牌，然后你弃1张牌，若你弃牌的召唤费用大于等于对方，则给予他2点直接伤害。,【通常】直死魔眼（④，减少自己1生命）无手牌时不可发动。目标对手弃1张牌，然后你弃1张牌，若你弃牌的召唤费用大于等于对方，则给予他2点直接伤害。
C009,两仪式,人类,2,响应,杀人鬼的资质,当对手防御你的伤害时，弃2张牌,本次伤害获得【穿透】,【响应】杀人鬼的资质（当对手防御你的伤害时，弃2张牌）本次伤害获得【穿透】
C009,两仪式,人类,3,通常,秘剑·猫返,③,给予目标对手2体术伤害，若此伤害未被完全防御，则本回合下次使用直死魔眼不消耗技能值以外的费用,【通常】秘剑·猫返（③）给予目标对手2体术伤害，若此伤害未被完全防御，则本回合下次使用直死魔眼不消耗技能值以外的费用
C009,两仪式,人类,4,终结,根源式,弃2张手牌，③，III,沉默所有对手；本回合使用其他技能的消耗均改变为【减少自己1点生命（亦不消耗技能值）】死亡后中断,【终结】根源式（弃2张手牌，③，III）沉默所有对手；本回合使用其他技能的消耗均改变为【减少自己1点生命（亦不消耗技能值）】死亡后中断
C010,远野秋叶,人类、人外,1,通常,赫译·红叶,⑤,给予目标对手4体术伤害；启动状态下，你再获得2魔力,【通常】赫译·红叶（⑤）给予目标对手4体术伤害；启动状态下，你再获得2魔力
C010,远野秋叶,人类、人外,2,响应,胸部乃绝对铁壁,受到1伤害时,非启动状态下免疫本次伤害，启动状态下额外受到1伤害,【响应】胸部乃绝对铁壁（受到1伤害时）非启动状态下免疫本次伤害，启动状态下额外受到1伤害
C010,远野秋叶,人类、人外,3,启动,赤主形态,③,启动状态下你可以再次使用此技能来解除启动。,【启动】赤主形态（③）启动状态下你可以再次使用此技能来解除启动。
C010,远野秋叶,人类、人外,4,终结,赤主·焰华,启动状态下，④，III,给予所有对手各1点咒术伤害，每有一个对手进行防御，就扣除对方1灵脉,【终结】赤主·焰华（启动状态下，④，III）给予所有对手各1点咒术伤害，每有一个对手进行防御，就扣除对方1灵脉
C011,爱尔奎特,人外,1,通常,魅惑魔眼,⑤，I,给予目标对手3咒术伤害，若被完全防御则魅惑她；启动状态下不造成伤害，直接魅惑目标对手,【通常】魅惑魔眼（⑤，I）给予目标对手3咒术伤害，若被完全防御则魅惑她；启动状态下不造成伤害，直接魅惑目标对手
C011,爱尔奎特,人外,2,通常,真祖格斗术,每回合1次，⑤,给予目标对手5体术伤害，回合结束时禁锢你自己,【通常】真祖格斗术（每回合1次，⑤）给予目标对手5体术伤害，回合结束时禁锢你自己
C011,爱尔奎特,人外,3,启动,魔法少女白姬变身,④，I,启动时，本回合你给予的所有伤害+1,【启动】魔法少女白姬变身（④，I）启动时，本回合你给予的所有伤害+1
C011,爱尔奎特,人外,4,终结,空想具现化,⑩，V,直接将召唤区3张牌置入手中,【终结】空想具现化【⑩，V】直接将召唤区3张牌置入手中
C012,巫净琥珀,人类,1,通常,开打靠靭琥珀脚,③,你和目标对手各抓1张牌并展示，若你的费用小于她的牌，则可以让她弃掉此牌，并给予她5体术伤害,【通常】开打靠靭琥珀脚（③）你和目标对手各抓1张牌并展示，若你的费用小于她的牌，则可以让她弃掉此牌，并给予她5体术伤害
C012,巫净琥珀,人类,2,启动,正义的魔法少女变身,④，I,启动状态下，你给予的体术和咒术伤害+1,【启动】正义的魔法少女变身（④，I）启动状态下，你给予的体术和咒术伤害+1
C012,巫净琥珀,人类,3,通常,"“Hey Jonny,come on!”",④,指定目标对手抓一张牌并展示，若此牌是召唤卡组的牌，则将她【封印】然后给予3咒术伤害,"【通常】“Hey Jonny,come on!”（④）指定目标对手抓一张牌并展示，若此牌是召唤卡组的牌，则将她【封印】然后给予3咒术伤害"
C012,巫净琥珀,人类,4,终结,拔刀奥义·贺正箒星,⑥，III,给予目标对手【双方手牌数之和】点体术伤害,【终结】拔刀奥义·贺正箒星（⑥，III）给予目标对手【双方手牌数之和】点体术伤害
C013,巫净翡翠,人类,1,响应,巨大人形兵器原形,在任意玩家的回合开始时，弃2张牌,直接将召唤区的机械翡翠置入你的弃牌堆,【响应】巨大人形兵器原形（在任意玩家的回合开始时，弃2张牌）直接将召唤区的机械翡翠置入你的弃牌堆
C013,巫净翡翠,人类,2,响应,异常的味觉,目标对手防御时，弃1张牌，II,用你弃掉的牌的防御值代替对手防御值；若他因此被你的队友击杀，则改为视作被你击杀,【响应】异常的味觉（目标对手防御时，弃1张牌，II）用你弃掉的牌的防御值代替对手防御值；若他因此被你的队友击杀，则改为视作被你击杀
C013,巫净翡翠,人类,3,通常,暗黑翡翠拳,⑥,对手击杀分+1；翻开目标对手牌库顶牌，给予他【7-翻开牌的防御值】点直接伤害,【通常】暗黑翡翠拳（⑥）对手击杀分+1；翻开目标对手牌库顶牌，给予他【7-翻开牌的防御值】点直接伤害
C013,巫净翡翠,人类,4,终结,“你被犯人了”,⑤，II,翻开目标对手牌库顶牌，给予他【翻开牌的召唤费用-1】点直接伤害，他可以将此牌置入手牌。,【终结】“你被犯人了”（⑤，II）翻开目标对手牌库顶牌，给予他【翻开牌的召唤费用-1】点直接伤害，他可以将此牌置入手牌。
C014,芙兰朵露,人外,1,通常,四重存在,⑥,抓3张牌，跳过你本回合的召唤阶段,【通常】四重存在（⑥）抓3张牌，跳过你本回合的召唤阶段
C014,芙兰朵露,人外,2,响应,之后就谁都不在了,你给予任意数量对手体术或咒术伤害时，减少X生命并弃X张牌,本次给予对手的伤害+X,【响应】之后就谁都不在了（你给予任意数量对手体术或咒术伤害时，减少X生命并弃X张牌）本次给予对手的伤害+X
C014,芙兰朵露,人外,3,通常,莱汶丁,③，弃1张牌,获得1毁灭指示物，最多存在3个。然后给予目标对手1+X体术伤害，X为毁灭指示物数量,【通常】莱汶丁（③，弃1张牌）获得1毁灭指示物，最多存在3个。然后给予目标对手1+X体术伤害，X为毁灭指示物数量
C014,芙兰朵露,人外,4,终结,495年的波纹,IV，弃1张牌，移除X个毁灭指示物,给予所有对手2X点咒术伤害，然后对自己造成X-1点直接伤害,【终结】495年的波纹（IV，弃1张牌，移除X个毁灭指示物）给予所有对手2X点咒术伤害，然后对自己造成X-1点直接伤害
C015,八云紫,人外,1,响应,间隙的妖怪,每回合一次，你的召唤阶段中,你可以从间隙中召唤牌（非想天则不可召唤），然后将召唤区一张牌放逐,【响应】间隙的妖怪（每回合一次，你的召唤阶段中）你可以从间隙中召唤牌（非想天则不可召唤），然后将召唤区一张牌放逐
C015,八云紫,人外,2,通常,客观结界,⑤，放逐X张手牌,指定最多X个目标玩家获得【结界】，你抓1张牌,【通常】客观结界（⑤，放逐X张手牌）指定最多X个目标玩家获得【结界】，你抓1张牌
C015,八云紫,人外,3,通常,突然废站下车之旅,③，从手牌中放逐2张牌,给予目标对手4体术伤害,【通常】突然废站下车之旅（③，从手牌中放逐2张牌）给予目标对手4体术伤害
C015,八云紫,人外,4,终结,梦幻泡影,⑤II,移除所有结界，然后给予所有对手【移除结界数量X2】点咒术伤害,【终结】梦幻泡影（⑤II）移除所有结界，然后给予所有对手【移除结界数量X2】点咒术伤害
C016,射命丸文,人外,1,响应,镰鼬面纱,当你使用一次通常技时，移除你的【结界】效果,抓一张牌，本次通常技不消耗技能值,【响应】镰鼬面纱（当你使用一次通常技时，移除你的【结界】效果）抓一张牌，本次通常技不消耗技能值
C016,射命丸文,人外,2,响应,天狗报即日限,任意玩家回合开始时，弃1张召唤费用为3或更高的牌,解除你的【禁锢】或【封印】效果,【响应】天狗报即日限（任意玩家回合开始时，弃1张召唤费用为3或更高的牌）解除你的【禁锢】或【封印】效果
C016,射命丸文,人外,3,通常,幻想风靡,⑥,对对手造成3点体术伤害，然后你可以弃两张牌直接再次发动此技能,【通常】幻想风靡（⑥）对对手造成3点体术伤害，然后你可以弃两张牌直接再次发动此技能
C016,射命丸文,人外,4,终结,天孙降临,④，II,解除你的【禁锢】和【封印】，你获得【结界】，给于所有对手1咒术伤害，然后每有一个对手完全防御此伤害，你抓1张牌,【终结】天孙降临（④，II）解除你的【禁锢】和【封印】，你获得【结界】，给于所有对手1咒术伤害，然后每有一个对手完全防御此伤害，你抓1张牌
C017,帕秋莉,人外,1,通常,七曜魔法,④,获得最多2种元素指示物。然后你可以移除一种元素，获得扩展卡对应效果。启动状态下，可以额外移除1种元素并获得其对应效果,【通常】七曜魔法（④）获得最多2种元素指示物。然后你可以移除一种元素，获得扩展卡对应效果。启动状态下，可以额外移除1种元素并获得其对应效果
C017,帕秋莉,人外,2,响应,元素收割者,当目标对手使用通常技并支付完其费用后，弃一张牌并移除5种元素指示物,打断她的本次技能,【响应】元素收割者（当目标对手使用通常技并支付完其费用后，弃一张牌并移除5种元素指示物）打断她的本次技能
C017,帕秋莉,人外,3,启动,贤者之石,在你有5种元素指示物时，⑥，II,启动时，触发扩展卡全部效果，你选择结算顺序，且不消耗指示物,【启动】贤者之石（在你有5种元素指示物时，⑥，II）启动时，触发扩展卡全部效果，你选择结算顺序，且不消耗指示物
C017,帕秋莉,人外,4,终结,皇家烈焰,"x,IV",给予最多2个目标对手合计(X-2)点咒术伤害，由你任意分配，然后扣除对手1灵脉,"【终结】皇家烈焰（x,IV）给予最多2个目标对手合计(X-2)点咒术伤害，由你任意分配，然后扣除对手1灵脉"
C017,帕秋莉,人外,5,,【七曜魔法对应】,,,【七曜魔法对应】
C017,帕秋莉,人外,6,金,放逐弃牌堆或手牌中一张牌,,,【金】放逐弃牌堆或手牌中一张牌
C017,帕秋莉,人外,7,木,回复目标玩家3生命,,,【木】回复目标玩家3生命
C017,帕秋莉,人外,8,水,抓1张牌，沉默目标对手,,,【水】抓1张牌，沉默目标对手
C017,帕秋莉,人外,9,火,给予目标对手3点咒术伤害，对爱丽丝给予的伤害+1,,,【火】给予目标对手3点咒术伤害，对爱丽丝给予的伤害+1
C017,帕秋莉,人外,10,土,目标友方玩家获得,结界,，或【封印】目标对手,【土】目标友方玩家获得【结界】，或【封印】目标对手
C018,幽幽子,人外,1,响应,永不餍足的胃,你的召唤阶段中,你召唤宝具需要的费用-1，但至少需要支付1,【响应】永不餍足的胃（你的召唤阶段中）你召唤宝具需要的费用-1，但至少需要支付1
C018,幽幽子,人外,2,通常,凤蝶纹的死枪,⑥，每回合一次,给予除你以外所有玩家1点直接伤害,【通常】凤蝶纹的死枪（⑥，每回合一次）给予除你以外所有玩家1点直接伤害
C018,幽幽子,人外,3,通常,依恋未酌宴,④,直接击杀所有生命值为1的对手,【通常】依恋未酌宴（④）直接击杀所有生命值为1的对手
C018,幽幽子,人外,4,终结,西行寺无余涅槃,⑥，III,所有生命值高于2的对手强行将生命值降低到2；,【终结】西行寺无余涅槃（⑥，III）所有生命值高于2的对手强行将生命值降低到2；
C019,藤原妹红,人类,1,响应,不死鸟重生,启动状态下被击杀时,解除启动状态，回复你的所有生命，不算做被击杀。此技能不受沉默影响。,【响应】不死鸟重生（启动状态下被击杀时）解除启动状态，回复你的所有生命，不算做被击杀。此技能不受沉默影响。
C019,藤原妹红,人类,2,通常,凤翼天翔,⑤，I,给予目标对手5点咒术伤害，然后对你自己造成1点直接伤害。对辉夜造成的伤害+1,【通常】凤翼天翔（⑤，I）给予目标对手5点咒术伤害，然后对你自己造成1点直接伤害。对辉夜造成的伤害+1
C019,藤原妹红,人类,3,启动,不死鸟之尾,III,启动时，可以将弃牌堆中一张牌置于手牌中,【启动】不死鸟之尾（III）启动时，可以将弃牌堆中一张牌置于手牌中
C019,藤原妹红,人类,4,终结,不朽的弹幕,⑥，I,给予目标对手【你的手牌数-2】点咒术伤害，然后将你阵地区一张不含技能值的卡置于手中,【终结】不朽的弹幕（⑥，I）给予目标对手【你的手牌数-2】点咒术伤害，然后将你阵地区一张不含技能值的卡置于手中
C020,蓬莱山辉夜,人类,1,通常,竹取物语,④,选择目标玩家，他选择一张手牌如同防御牌般放在阵地区。,【通常】竹取物语（④）选择目标玩家，他选择一张手牌如同防御牌般放在阵地区。
C020,蓬莱山辉夜,人类,2,通常,永夜返,②,将你手中1张牌如同防御牌般放在阵地区。若对手中有妹红，则可以多放1张牌,【通常】永夜返（②）将你手中1张牌如同防御牌般放在阵地区。若对手中有妹红，则可以多放1张牌
C020,蓬莱山辉夜,人类,3,通常,须臾间的永恒,当你的生命值低于4时，②,将你阵地区的防御牌置入弃牌堆，然后抓等量的牌，回复你所有生命,【通常】须臾间的永恒（当你的生命值低于4时，②）将你阵地区的防御牌置入弃牌堆，然后抓等量的牌，回复你所有生命
C020,蓬莱山辉夜,人类,4,终结,蓬莱的树海,⑥，II,指定目标对手，将他阵地区所有召唤费用小于4的牌置入其弃牌堆，并且给予所有对手【召唤费用大于等于4的牌数X2】点咒术伤害,【终结】蓬莱的树海（⑥，II）指定目标对手，将他阵地区所有召唤费用小于4的牌置入其弃牌堆，并且给予所有对手【召唤费用大于等于4的牌数X2】点咒术伤害
C021,雪露,人类、人外,1,通常,咖喱能量,每回合1次，弃一张牌,你回复1点生命，抓1张牌,【通常】咖喱能量（每回合1次，弃一张牌）你回复1点生命，抓1张牌
C021,雪露,人类、人外,2,通常,黑键投射,④，弃一张牌,给予目标对手3点咒术伤害，本回合下次使用此技能不消耗魔力,【通常】黑键投射（④，弃一张牌）给予目标对手3点咒术伤害，本回合下次使用此技能不消耗魔力
C021,雪露,人类、人外,3,响应,火葬式典,使用黑键投射时，额外消耗④，I,本次黑键投射会先将目标封印，且伤害+2,【响应】火葬式典（使用黑键投射时，额外消耗④，I）本次黑键投射会先将目标封印，且伤害+2
C021,雪露,人类、人外,4,终结,第七圣典原罪救济,④，II,目标对手弃1张牌，且获得【禁锢】。若目标是爱尔奎特，她需多弃1张牌。,【终结】第七圣典原罪救济（④，II）目标对手弃1张牌，且获得【禁锢】。若目标是爱尔奎特，她需多弃1张牌。
C022,爱丽丝,人外,1,通常,少女文乐,②,获得一个人形指示物，最多同时存在3个指示物。,【通常】少女文乐（②）获得一个人形指示物，最多同时存在3个指示物。
C022,爱丽丝,人外,2,通常,归于虚无,④，1人形指示物,将目标对手阵地区一张防御卡置入其弃牌堆，给予另一个对手【4-该防御牌召唤费用】点咒术伤害,【通常】归于虚无（④，1人形指示物）将目标对手阵地区一张防御卡置入其弃牌堆，给予另一个对手【4-该防御牌召唤费用】点咒术伤害
C022,爱丽丝,人外,3,通常,大千枪,④，2人形指示物,抓2张牌并展示，给予目标对手【展示牌的防御值之和-2】点体术伤害，对帕秋莉伤害+1,【通常】大千枪（④，2人形指示物）抓2张牌并展示，给予目标对手【展示牌的防御值之和-2】点体术伤害，对帕秋莉伤害+1
C022,爱丽丝,人外,4,终结,人形战争,④，III，移除X人形,你弃X张牌，指定目标对手，他选择X项：你抓X张牌，他弃X张牌，给予他X点直接伤害，扣除他X点灵脉,【终结】人形战争（④，III，移除X人形）你弃X张牌，指定目标对手，他选择X项：你抓X张牌，他弃X张牌，给予他X点直接伤害，扣除他X点灵脉
C023,风见幽香,人外,1,响应,梦幻馆主,当你发动带体术或咒术伤害的技能时，弃1张牌,本次技能描述中给予的伤害加倍,【响应】梦幻馆主（当你发动带体术或咒术伤害的技能时，弃1张牌）本次技能描述中给予的伤害加倍
C023,风见幽香,人外,2,通常,幻想乡花开,⑥，每回合1次,获得1灵脉，然后扣除对手1灵脉,【通常】幻想乡花开（⑥，每回合1次）获得1灵脉，然后扣除对手1灵脉
C023,风见幽香,人外,3,通常,双生火花,⑥，I，弃X张牌,给予2个目标对手各【X+1】点咒术伤害,【通常】双生火花（⑥，I，弃X张牌）给予2个目标对手各【X+1】点咒术伤害
C023,风见幽香,人外,4,终结,花鸟风月 啸风弄月,⑦，II,所有对手展示其手牌，你从他们每人手中选1张牌如防御牌般置于其阵地区，然后给予他们各2点咒术伤害。,【终结】花鸟风月 啸风弄月（⑦，II）所有对手展示其手牌，你从他们每人手中选1张牌如防御牌般置于其阵地区，然后给予他们各2点咒术伤害。
C024,伊吹萃香,人外,1,启动,小小的百鬼夜行,⑥，III,启动时，给予所有对手各4点体术伤害,【启动】小小的百鬼夜行（⑥，III）启动时，给予所有对手各4点体术伤害
C024,伊吹萃香,人外,2,通常,超高密度燐祸术,⑥,给予目标对手4点咒术伤害；启动状态下，改为给予所有对手4点咒术伤害。,【通常】超高密度燐祸术（⑥）给予目标对手4点咒术伤害；启动状态下，改为给予所有对手4点咒术伤害。
C024,伊吹萃香,人外,3,响应,云集雾散,当你受到一次不致命的伤害时，减少1点生命,免疫本次伤害,【响应】云集雾散（当你受到一次不致命的伤害时，减少1点生命）免疫本次伤害
C024,伊吹萃香,人外,4,终结,大江山悉皆杀,启动状态下，弃4张牌,直接击杀目标对手；解除你的启动状态,【终结】大江山悉皆杀（启动状态下，弃4张牌）直接击杀目标对手；解除你的启动状态
C025,丰聪耳神子,人外,1,响应,和为贵,目标对手用宝具牌给予友方玩家伤害时，移除1神灵,宝具卡上的伤害效果变成回复效果,【响应】和为贵（目标对手用宝具牌给予友方玩家伤害时，移除1神灵）宝具卡上的伤害效果变成回复效果
C025,丰聪耳神子,人外,2,响应,豪族乱舞,对手防御伤害时，你移除1神灵并弃1张召唤费用大于1的牌,本次伤害+1，,【响应】豪族乱舞（对手防御伤害时，你移除1神灵并弃1张召唤费用大于1的牌）本次伤害+1，
C025,丰聪耳神子,人外,3,响应,救世之光,目标队友发动通常技时，移除2神灵并弃1张带技能值的牌，I,若队友技能未被打断，则在该技能结算完成后，他立刻无消耗追加发动一次相同技能,【响应】救世之光（目标队友发动通常技时，移除2神灵并弃1张带技能值的牌，I）若队友技能未被打断，则在该技能结算完成后，他立刻无消耗追加发动一次相同技能
C025,丰聪耳神子,人外,4,终结,神灵大宇宙,⑤，I,移除所有神灵指示物，给予每个对手3点咒术伤害；你获得3神灵指示物，最多存在3个,【终结】神灵大宇宙（⑤，I）移除所有神灵指示物，给予每个对手3点咒术伤害；你获得3神灵指示物，最多存在3个
C026,比那名居天子,人外,1,通常,天启气象之剑,④,选择扩展卡上一种天气获得其持续性效果，并取代之前的天气,【通常】天启气象之剑（④）选择扩展卡上一种天气获得其持续性效果，并取代之前的天气
C026,比那名居天子,人外,2,通常,开天辟地之冲击,③，I,给予目标3点体术伤害,【通常】开天辟地之冲击（③，I）给予目标3点体术伤害
C026,比那名居天子,人外,3,响应,不让土壤之剑,存在天气时，若友方玩家防御对手给予的伤害后未被击杀，I,弃X张牌，对伤害来源玩家造成X点体术伤害,【响应】不让土壤之剑（存在天气时，若友方玩家防御对手给予的伤害后未被击杀，I）弃X张牌，对伤害来源玩家造成X点体术伤害
C026,比那名居天子,人外,4,终结,全人类的绯想天,存在天气时，⑥，II,给予所有对手各【2+X】点咒术伤害，X为2（台风、风雨时）或4（浓雾、川雾时）然后强制转变天气,【终结】全人类的绯想天（存在天气时，⑥，II）给予所有对手各【2+X】点咒术伤害，X为2（台风、风雨时）或4（浓雾、川雾时）然后强制转变天气
C027,美杜莎,人外,1,通常,石化魔眼,⑥，II,禁锢目标对手，并给予他4点咒术伤害。,【通常】石化魔眼（⑥，II）禁锢目标对手，并给予他4点咒术伤害。
C027,美杜莎,人外,2,通常,他者封印·鲜血神殿,II,获得④，给予每位对手各3点咒术伤害,【通常】他者封印·鲜血神殿（II）获得④，给予每位对手各3点咒术伤害
C027,美杜莎,人外,3,通常,自我封印·暗黑神殿,⑤,获得I，沉默并【封印】目标对手,【通常】自我封印·暗黑神殿（⑤）获得I，沉默并【封印】目标对手
C027,美杜莎,人外,4,终结,骑英的缰绳,⑥，I,给予目标对手4点咒术伤害，若目标被【封印】，伤害+2；,【终结】骑英的缰绳（⑥，I）给予目标对手4点咒术伤害，若目标被【封印】，伤害+2；
C028,远坂凛,人类,1,通常,魔力宝石,⑥,获得1个宝石指示物，最多存在3个，然后你可以移除1个宝石指示物，给予目标对手4点咒术伤害,【通常】魔力宝石（⑥）获得1个宝石指示物，最多存在3个，然后你可以移除1个宝石指示物，给予目标对手4点咒术伤害
C028,远坂凛,人类,2,通常,泽尔里奇宝箱,③,你可以将1张手牌放回牌库顶，然后从牌库底抓1张牌,【通常】泽尔里奇宝箱（③）你可以将1张手牌放回牌库顶，然后从牌库底抓1张牌
C028,远坂凛,人类,3,启动,魔法少女变身,④，I,启动状态下，使用魔力宝石获得额外1个指示物；你使用终结技时可不用骰子，自己选择效果,【启动】魔法少女变身（④，I）启动状态下，使用魔力宝石获得额外1个指示物；你使用终结技时可不用骰子，自己选择效果
